image,choice,annotator,updated_at,id,created_at,annotation_id,lead_time
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1000104.jpg,Food,1,2023-04-12T23:09:45.110830Z,29,2023-04-12T23:09:45.109795Z,166,1.257
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1000774.jpg,No-Food,1,2023-04-12T23:12:49.509675Z,30,2023-04-12T23:12:49.509675Z,219,1.365
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1000910.jpg,Food,1,2023-04-12T23:09:18.033781Z,31,2023-04-12T23:09:18.033781Z,157,1.345
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1002403.jpg,Food,1,2023-04-12T23:34:04.144732Z,32,2023-04-12T23:34:04.144732Z,446,1.029
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1003809.jpg,No-Food,1,2023-04-12T23:04:14.499915Z,33,2023-04-12T23:04:14.499915Z,59,2.314
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1006177.jpg,No-Food,1,2023-04-12T23:36:01.737787Z,34,2023-04-12T23:36:01.737787Z,492,1.373
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1006180.jpg,Food,1,2023-04-12T23:32:59.127139Z,35,2023-04-12T23:32:59.127139Z,416,7.657
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1011834.jpg,Food,1,2023-04-12T23:11:44.953294Z,36,2023-04-12T23:11:44.953294Z,197,1.325
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1013476.jpg,Food,1,2023-04-12T23:09:01.945171Z,37,2023-04-12T23:09:01.945171Z,149,1.253
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1015906.jpg,Food,1,2023-04-12T23:35:57.421184Z,38,2023-04-12T23:35:57.421184Z,490,1.047
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1022315.jpg,Food,1,2023-04-12T23:17:53.856924Z,39,2023-04-12T23:17:53.856924Z,304,1.072
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1025144.jpg,Food,1,2023-04-12T23:33:31.940057Z,40,2023-04-12T23:33:31.940057Z,430,1.213
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1025221.jpg,Food,1,2023-04-12T23:17:15.227885Z,41,2023-04-12T23:17:15.227885Z,284,0.862
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1026322.jpg,Food,1,2023-04-12T23:17:13.898011Z,42,2023-04-12T23:17:13.898011Z,283,0.953
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1029391.jpg,Food,1,2023-04-12T23:37:22.743642Z,43,2023-04-12T23:37:22.743642Z,530,1.298
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1033828.jpg,Food,1,2023-04-12T23:30:23.440082Z,44,2023-04-12T23:30:23.440082Z,356,2.315
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1039478.jpg,Food,1,2023-04-12T23:12:36.488867Z,45,2023-04-12T23:12:36.488867Z,216,1.183
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1041715.jpg,Food,1,2023-04-12T23:02:44.706488Z,46,2023-04-12T23:02:44.706488Z,46,1.499
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1050509.jpg,Food,1,2023-04-12T23:29:23.456493Z,47,2023-04-12T23:29:23.456493Z,343,1.146
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1051244.jpg,Food,1,2023-04-12T23:08:32.316100Z,48,2023-04-12T23:08:32.316100Z,139,2.997
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1054919.jpg,Food,1,2023-04-12T23:15:49.969612Z,49,2023-04-12T23:15:49.969612Z,241,1.196
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1055979.jpg,Food,1,2023-04-12T23:12:27.090302Z,50,2023-04-12T23:12:27.090302Z,211,1.038
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1060262.jpg,Food,1,2023-04-12T23:37:10.177421Z,51,2023-04-12T23:37:10.177421Z,524,0.876
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1060552.jpg,Food,1,2023-04-12T23:16:38.520442Z,52,2023-04-12T23:16:38.520442Z,263,1.083
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1061036.jpg,No-Food,1,2023-04-12T23:31:42.287357Z,53,2023-04-12T23:31:42.287357Z,394,1.111
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1064887.jpg,Food,1,2023-04-12T23:37:15.311791Z,54,2023-04-12T23:37:15.311791Z,526,2.737
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1074293.jpg,No-Food,1,2023-04-12T23:34:42.543726Z,55,2023-04-12T23:34:42.543726Z,464,1.26
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1080812.jpg,Food,1,2023-04-12T23:02:06.859534Z,56,2023-04-12T23:02:06.859534Z,33,1.964
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1086470.jpg,Food,1,2023-04-12T23:35:06.097064Z,57,2023-04-12T23:35:06.097064Z,474,4.095
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1090959.jpg,Food,1,2023-04-12T23:06:45.283584Z,58,2023-04-12T23:06:45.283584Z,106,1.161
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1108537.jpg,Food,1,2023-04-12T23:31:05.332346Z,59,2023-04-12T23:31:05.332346Z,375,1.356
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1111827.jpg,No-Food,1,2023-04-12T23:34:36.720333Z,60,2023-04-12T23:34:36.720333Z,461,2.002
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1112889.jpg,Food,1,2023-04-12T23:11:30.351238Z,61,2023-04-12T23:11:30.351238Z,190,1.079
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1125701.jpg,No-Food,1,2023-04-12T23:16:54.152069Z,62,2023-04-12T23:16:54.152069Z,272,1.336
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1142059.jpg,Food,1,2023-04-12T23:37:11.986957Z,63,2023-04-12T23:37:11.986957Z,525,0.991
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1142536.jpg,No-Food,1,2023-04-12T23:05:33.514897Z,64,2023-04-12T23:05:33.514897Z,92,1.483
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1143878.jpg,No-Food,1,2023-04-12T23:32:26.999034Z,65,2023-04-12T23:32:26.999034Z,408,1.489
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1149207.jpg,No-Food,1,2023-04-12T23:07:10.464577Z,66,2023-04-12T23:07:10.464577Z,116,1.792
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1151243.jpg,No-Food,1,2023-04-12T23:15:29.558287Z,67,2023-04-12T23:15:29.558287Z,232,1.309
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1157058.jpg,Food,1,2023-04-12T23:30:30.482271Z,68,2023-04-12T23:30:30.482271Z,360,1.064
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1158956.jpg,Food,1,2023-04-12T23:37:20.932907Z,69,2023-04-12T23:37:20.932907Z,529,0.963
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1165123.jpg,Food,1,2023-04-12T23:36:49.178228Z,70,2023-04-12T23:36:49.178228Z,515,1.193
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1165191.jpg,Food,1,2023-04-12T23:06:39.740694Z,71,2023-04-12T23:06:39.740694Z,103,1.622
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1165476.jpg,Food,1,2023-04-12T23:16:13.278020Z,72,2023-04-12T23:16:13.278020Z,251,2.065
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1168736.jpg,Food,1,2023-04-12T23:03:01.957911Z,73,2023-04-12T23:03:01.957911Z,53,2.582
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1171061.jpg,No-Food,1,2023-04-12T23:16:10.476849Z,74,2023-04-12T23:16:10.476849Z,250,1.294
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1171342.jpg,Food,1,2023-04-12T23:29:05.970317Z,75,2023-04-12T23:29:05.970317Z,332,0.94
/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1180588.jpg,Food,1,2023-04-12T23:04:11.451186Z,76,2023-04-12T23:04:11.451186Z,58,1.466
